Molecule|Datafile|Disp2 (CCD)|Disp20|Disp21|Disp22 (S) (CCD)|Disp22 (SDQ)|Disp22 (T)|Disp22 (T) (CCD)|Dispersion|Electrostatics|Elst10,r|Elst12,r|Est. Disp22 (T)|Exch-Disp20|Exch-Ind20,r|Exch-Ind22|Exch10|Exch10(S^2)|Exch11(S^2)|Exch12(S^2)|Exchange|Ind20,r|Induction|InteractionEnergy|delta HF,r (2)|delta MP2,r (2)
water#sodium|0497|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.115677|-40.818|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.185943|N/A|-6.334|-47.082|N/A|N/A
water#sodium|0498|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.111189|-40.353|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.171092|N/A|-6.187|-46.480|N/A|N/A
water#sodium|0499|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.106897|-39.896|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.157444|N/A|-6.043|-45.889|N/A|N/A
water#sodium|0500|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.102792|-39.446|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.144899|N/A|-5.904|-45.308|N/A|N/A
water#sodium|0501|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0988651|-39.004|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.133367|N/A|-5.767|-44.737|N/A|N/A
water#sodium|0502|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.222691|-49.479|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.710411|N/A|-9.252|-58.243|N/A|N/A
water#sodium|0503|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.217243|-49.113|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.675966|N/A|-9.123|-57.777|N/A|N/A
water#sodium|0504|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.211937|-48.750|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.643209|N/A|-8.996|-57.315|N/A|N/A
water#sodium|0505|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.20677|-48.392|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.612056|N/A|-8.871|-56.858|N/A|N/A
water#sodium|0506|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.201738|-48.038|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.582427|N/A|-8.748|-56.405|N/A|N/A
water#sodium|0507|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.196837|-47.688|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.554249|N/A|-8.627|-55.957|N/A|N/A
water#sodium|0508|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.192064|-47.341|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.527449|N/A|-8.507|-55.513|N/A|N/A
water#sodium|0509|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.187416|-46.999|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.501959|N/A|-8.388|-55.073|N/A|N/A
